SUB_DEALER,total_all_sum,total_comm_sum,total_after_comm_sum
mosrata,325667.0000,34087.9200,291579.0800
almadar,157838.0000,19864.4000,137973.6000
sabaha,142047.0000,19125.8900,122921.1100
Zliten,140484.0000,14289.2500,126194.7500
Efurn,113666.0000,15349.0300,98316.9700
Zwara,107529.0000,12761.8800,94767.1200
Khums,94298.0000,11361.3000,82936.7000
"Eastern Region",88396.0000,11644.0900,76751.9100
Albayda,86852.0000,13209.0600,73642.9400
"sug aljumea",84480.0000,10129.9700,74350.0300
Gharyan,55036.0000,8018.3800,47017.6200
Tajura,44101.0000,6267.0900,37833.9100
"western Region",43834.0000,4259.5400,39574.4600
"qasr bin ghashir",39347.0000,5630.2900,33716.7100
mamooun,33234.0000,3949.4700,29284.5300
jinzur,13517.0000,1617.3600,11899.6400
ALBADEEL,2840.0000,231.3300,2608.6700
alzintan,1232.0000,203.1500,1028.8500
